Domain,Having_IP,Having_At,URL_Length,URL_Depth,Redirect,Https_Domain,TinyURL,Prefix/Suffix,Label
censor.net.ua,0,0,1,3,0,0,0,0,0
sberbank.ru,0,0,1,6,0,0,0,0,0
sourceforge.net,0,0,1,2,0,0,0,0,0
olx.co.id,0,0,1,2,0,0,1,0,0
buzzfil.net,0,0,1,4,0,0,0,0,0
pornsharing.com,0,0,1,1,0,0,0,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0
interpark.com,0,0,1,2,0,0,0,0,0
twitter.com,0,0,1,1,0,0,0,0,0
themeforest.net,0,0,1,4,0,0,0,0,0
persianblog.ir,0,0,1,4,0,0,0,0,0
hubpages.com,0,0,1,2,0,0,0,0,0
yourlust.com,0,0,1,2,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0
auto.ru,0,0,1,4,0,0,0,0,0
ifttt.com,0,0,1,2,0,0,1,0,0
askubuntu.com,0,0,1,3,0,0,0,0,0
hollywoodlife.com,0,0,1,4,0,0,0,0,0
allegro.pl,0,0,1,2,0,0,0,0,0
twitter.com,0,0,1,1,0,0,0,0,0
sfglobe.com,0,0,1,4,0,0,0,0,0
metro.co.uk,0,0,1,4,0,0,0,0,0
babal.net,0,0,1,4,0,0,0,0,0
nypost.com,0,0,1,4,0,0,1,0,0
olx.ro,0,0,1,7,0,0,0,0,0
sourceforge.net,0,0,1,3,0,0,0,0,0
otomoto.pl,0,0,1,3,0,0,0,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0
twitter.com,0,0,1,1,0,0,0,0,0
udn.com,0,0,1,4,0,0,0,0,0
codecanyon.net,0,0,1,4,0,0,0,0,0
pornsharing.com,0,0,1,1,0,0,0,0,0
katproxy.com,0,0,1,1,0,0,0,0,0
udn.com,0,0,1,4,0,0,0,0,0
cox.com,0,0,1,4,0,0,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0
indianexpress.com,0,0,1,3,0,0,0,0,0
bestblackhatforum.com,0,0,1,1,0,0,0,0,0
indianexpress.com,0,0,1,4,0,0,0,0,0
ecnavi.jp,0,0,1,1,1,0,0,0,0
eksisozluk.com,0,0,1,1,0,0,0,0,0
allegro.pl,0,0,1,1,0,0,0,0,0
indianexpress.com,0,0,1,5,0,0,0,0,0
censor.net.ua,0,0,1,3,0,0,0,0,0
tobogo.net,0,0,1,2,0,0,0,0,0
grantland.com,0,0,1,2,0,0,0,0,0
comicbook.com,0,0,1,4,0,0,0,0,0
fortune.com,0,0,1,4,0,0,0,0,0
haberler.com,0,0,1,1,0,0,0,0,0
babal.net,0,0,1,4,0,0,0,0,0
torcache.net,0,0,1,2,0,0,0,0,0
udn.com,0,0,1,4,0,0,0,0,0
otomoto.pl,0,0,1,2,0,0,0,0,0
mixi.jp,0,0,1,1,1,0,0,0,0
superuser.com,0,0,1,3,0,0,0,0,0
tobogo.net,0,0,1,2,0,0,0,0,0
olx.co.id,0,0,1,7,0,0,1,0,0
espn.go.com,0,0,1,7,0,0,0,0,0
ink361.com,0,0,1,6,0,0,0,0,0
maybank2u.com.my,0,0,1,4,0,0,0,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0
uproxx.com,0,0,1,4,0,0,1,0,0
uproxx.com,0,0,1,4,0,0,1,0,0
dropbooks.tv,0,0,1,5,0,0,0,0,0
medium.com,0,0,1,2,0,0,0,0,0
